ticker,name,index
A,A,SP500_NASDAQ
AAPL,AAPL,SP500_NASDAQ
ABBV,ABBV,SP500_NASDAQ
ABNB,ABNB,SP500_NASDAQ
ABT,ABT,SP500_NASDAQ
ACGL,ACGL,SP500_NASDAQ
ACN,ACN,SP500_NASDAQ
ADBE,ADBE,SP500_NASDAQ
ADI,ADI,SP500_NASDAQ
ADM,ADM,SP500_NASDAQ
ADP,ADP,SP500_NASDAQ
ADSK,ADSK,SP500_NASDAQ
AEE,AEE,SP500_NASDAQ
AEP,AEP,SP500_NASDAQ
AES,AES,SP500_NASDAQ
AFL,AFL,SP500_NASDAQ
AIG,AIG,SP500_NASDAQ
AIZ,AIZ,SP500_NASDAQ
AJG,AJG,SP500_NASDAQ
AKAM,AKAM,SP500_NASDAQ
ALB,ALB,SP500_NASDAQ
ALGN,ALGN,SP500_NASDAQ
ALL,ALL,SP500_NASDAQ
ALLE,ALLE,SP500_NASDAQ
ALNY,ALNY,SP500_NASDAQ
AMAT,AMAT,SP500_NASDAQ
AMCR,AMCR,SP500_NASDAQ
AMD,AMD,SP500_NASDAQ
AME,AME,SP500_NASDAQ
AMGN,AMGN,SP500_NASDAQ
AMP,AMP,SP500_NASDAQ
AMT,AMT,SP500_NASDAQ
AMZN,AMZN,SP500_NASDAQ
ANET,ANET,SP500_NASDAQ
AON,AON,SP500_NASDAQ
AOS,AOS,SP500_NASDAQ
APA,APA,SP500_NASDAQ
APD,APD,SP500_NASDAQ
APH,APH,SP500_NASDAQ
APO,APO,SP500_NASDAQ
APP,APP,SP500_NASDAQ
APTV,APTV,SP500_NASDAQ
ARE,ARE,SP500_NASDAQ
ARES,ARES,SP500_NASDAQ
ARM,ARM,SP500_NASDAQ
ASML,ASML,SP500_NASDAQ
ATO,ATO,SP500_NASDAQ
AVB,AVB,SP500_NASDAQ
AVGO,AVGO,SP500_NASDAQ
AVY,AVY,SP500_NASDAQ
AWK,AWK,SP500_NASDAQ
AXON,AXON,SP500_NASDAQ
AXP,AXP,SP500_NASDAQ
AZO,AZO,SP500_NASDAQ
BA,BA,SP500_NASDAQ
BAC,BAC,SP500_NASDAQ
BALL,BALL,SP500_NASDAQ
BAX,BAX,SP500_NASDAQ
BBY,BBY,SP500_NASDAQ
BDX,BDX,SP500_NASDAQ
BEN,BEN,SP500_NASDAQ
BF-B,BF-B,SP500_NASDAQ
BG,BG,SP500_NASDAQ
BIIB,BIIB,SP500_NASDAQ
BK,BK,SP500_NASDAQ
BKNG,BKNG,SP500_NASDAQ
BKR,BKR,SP500_NASDAQ
BLDR,BLDR,SP500_NASDAQ
BLK,BLK,SP500_NASDAQ
BMY,BMY,SP500_NASDAQ
BR,BR,SP500_NASDAQ
BRK-B,BRK-B,SP500_NASDAQ
BRO,BRO,SP500_NASDAQ
BSX,BSX,SP500_NASDAQ
BX,BX,SP500_NASDAQ
BXP,BXP,SP500_NASDAQ
C,C,SP500_NASDAQ
CAG,CAG,SP500_NASDAQ
CAH,CAH,SP500_NASDAQ
CARR,CARR,SP500_NASDAQ
CAT,CAT,SP500_NASDAQ
CB,CB,SP500_NASDAQ
CBOE,CBOE,SP500_NASDAQ
CBRE,CBRE,SP500_NASDAQ
CCEP,CCEP,SP500_NASDAQ
CCI,CCI,SP500_NASDAQ
CCL,CCL,SP500_NASDAQ
CDNS,CDNS,SP500_NASDAQ
CDW,CDW,SP500_NASDAQ
CEG,CEG,SP500_NASDAQ
CF,CF,SP500_NASDAQ
CFG,CFG,SP500_NASDAQ
CHD,CHD,SP500_NASDAQ
CHRW,CHRW,SP500_NASDAQ
CHTR,CHTR,SP500_NASDAQ
CI,CI,SP500_NASDAQ
CINF,CINF,SP500_NASDAQ
CL,CL,SP500_NASDAQ
CLX,CLX,SP500_NASDAQ
CMCSA,CMCSA,SP500_NASDAQ
CME,CME,SP500_NASDAQ
CMG,CMG,SP500_NASDAQ
CMI,CMI,SP500_NASDAQ
CMS,CMS,SP500_NASDAQ
CNC,CNC,SP500_NASDAQ
CNP,CNP,SP500_NASDAQ
COF,COF,SP500_NASDAQ
COIN,COIN,SP500_NASDAQ
COO,COO,SP500_NASDAQ
COP,COP,SP500_NASDAQ
COR,COR,SP500_NASDAQ
COST,COST,SP500_NASDAQ
CPAY,CPAY,SP500_NASDAQ
CPB,CPB,SP500_NASDAQ
CPRT,CPRT,SP500_NASDAQ
CPT,CPT,SP500_NASDAQ
CRH,CRH,SP500_NASDAQ
CRL,CRL,SP500_NASDAQ
CRM,CRM,SP500_NASDAQ
CRWD,CRWD,SP500_NASDAQ
CSCO,CSCO,SP500_NASDAQ
CSGP,CSGP,SP500_NASDAQ
CSX,CSX,SP500_NASDAQ
CTAS,CTAS,SP500_NASDAQ
CTRA,CTRA,SP500_NASDAQ
CTSH,CTSH,SP500_NASDAQ
CTVA,CTVA,SP500_NASDAQ
CVNA,CVNA,SP500_NASDAQ
CVS,CVS,SP500_NASDAQ
CVX,CVX,SP500_NASDAQ
D,D,SP500_NASDAQ
DAL,DAL,SP500_NASDAQ
DASH,DASH,SP500_NASDAQ
DAY,DAY,SP500_NASDAQ
DD,DD,SP500_NASDAQ
DDOG,DDOG,SP500_NASDAQ
DE,DE,SP500_NASDAQ
DECK,DECK,SP500_NASDAQ
DELL,DELL,SP500_NASDAQ
DG,DG,SP500_NASDAQ
DGX,DGX,SP500_NASDAQ
DHI,DHI,SP500_NASDAQ
DHR,DHR,SP500_NASDAQ
DIS,DIS,SP500_NASDAQ
DLR,DLR,SP500_NASDAQ
DLTR,DLTR,SP500_NASDAQ
DOC,DOC,SP500_NASDAQ
DOV,DOV,SP500_NASDAQ
DOW,DOW,SP500_NASDAQ
DPZ,DPZ,SP500_NASDAQ
DRI,DRI,SP500_NASDAQ
DTE,DTE,SP500_NASDAQ
DUK,DUK,SP500_NASDAQ
